F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_12,F_13
shingle,see,injure,high,I,office,?,omg,make,now,careful,street
shake,understand,wound,heights,me,business_office,!,wtf,shuffle,nowadays,heedful,direction
trill,realize,hurt,high_gear,we,agency,,s**t,shuffling,today,deliberate,way
handclasp,realise,bruise,eminent,ourself,federal_agency,,idk,do,at_present,watch,centering
tremble,witness,offend,high-pitched,my,government_agency,,ama,get,immediately,ticker,state
shiver,find,spite,in_high_spirits,mine,bureau,,ikr,create,instantly,vigil,province
wag,visualize,cancel,high_up,myself,authority,,brb,induce,straightaway,lookout,nation
waggle,visualise,call_off,richly,,function,,smh,stimulate,straight_off,lookout_man,country
agitate,envision,scratch,luxuriously,,office_staff,,tbh,cause,directly,spotter,land
didder,figure,scrub,low,,post,,imo,produce,right_away,observe,rural_area
judder,consider,strike_down,depression,,berth,,idc,draw,at_once,follow,area
rock,reckon,delete,Low,,spot,,irl,gain,forthwith,watch_over,streets
sway,view,invalidate,first_gear,,place,,icymi,take_in,just,keep_an_eye_on,more street
stimulate,regard,destroy,low_gear,,situation,,fomo,clear,merely,view,most street
shake_up,learn,destruct,low-toned,,area,,asap,earn,just_now,see,streeting
excite,hear,ruin,low-pitched,,country,,lol,realize,hardly,catch,streeted
stir,get_word,demolish,low-down,,region,,mf,realise,scarcely,take_in,back street
shake_off,get_wind,put_down,miserable,,domain,,shit,pull_in,month,look_on,civvy street
throw_off,pick_up,blow,scummy,,field,,f**k,bring_in,year,look_out,high street
escape_from,find_out,bump,scurvy,,arena,,,constitute,twelvemonth,watch_out,main street
flow,get_a_line,reverse,humble,,building,,,reach,but now,determine,one-way street
flowing,discover,reversal,lowly,,construction,,,get_to,now that,check,side street
flow_rate,watch,setback,modest,,construct,,,construct,now!,find_out,two-way street
rate_of_flow,catch,shock,small,,build,,,build,nows,ascertain,baker street
stream,take_in,gust,depleted,,home,,,attain,nowadays,learn,harley street
current,meet,blast,gloomy,,habitation,,,hit,now and then,avoid,main street
menstruation,run_into,snow,grim,,home_base,,,arrive_at,nowness,debar,wall street
menses,encounter,float,blue,,household,,,lay_down,now,forefend,street corner
menstruum,run_across,drift,depressed,,house,,,establish,now that,forfend,street address
catamenia,come_across,bumble,dispirited,,nursing_home,,,hold,now then,obviate,street corner
run,determine,fumble,down,,rest_home,,,throw,right now,deflect,street cred
hang,check,mishandle,downcast,,interior,,,give,that was then,avert,directions
fall,ascertain,fuck_up,downhearted,,offices,,,make_up,now-a-days,head_off,directiones
menstruate,insure,waste,down_in_the_mouth,,officed,,,take,now-adays,stave_off,directionality
burn,see_to_it,squander,low-spirited,,booking office,,,work,now a days,fend_off,directive
burning,ensure,fellate,strong,,doctor's office,,,cook,now adayes,ward_off,misdirection
suntan,control,suck,potent,,fire office,,,ready,now adaies,keep_off,redirection
sunburn,assure,go_down_on,stiff,,hold office,,,prepare,to-day,invalidate,'way
burn_mark,visit,shove_off,impregnable,,home office,,,seduce,todays,annul,ways
fire,attend,shove_along,inviolable,,in office,,,score,straight away,quash,waying
