please_choose_a_category,Tweets,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13
direct_eyewitness, thereformedcrow nah  i'm gonna go with earthquake. ,0,1,1,0,1,0,0,0,1,0,0,0,0
direct_eyewitness,i think we just had an earthquake,1,1,1,1,1,0,0,0,1,1,0,1,1
direct_eyewitness,uhh who else felt that earthquake tho,0,1,1,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,bay area just had a nice size earthquake,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,thought my dad was farting...turns out it was an earthquake,0,1,1,1,1,0,0,0,1,0,0,1,1
direct_eyewitness,earthquake!?,0,1,1,1,1,1,1,0,1,1,0,0,0
direct_eyewitness,bitch..... was that an earthquake!?,0,1,1,0,1,0,1,0,1,0,0,0,1
direct_eyewitness,holy shit  just felt an earthquake in the california bay area.  that warriors vs rockets game is intense!,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,i believe a small earthquake just happened ,1,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,it was jus a fxckin earthquake ,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,listening to a live podcast recording and there was an earthquake. quickest way to news is to listen to live podcasts.,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,the last thing i would be wearing if that earthquake was massive was a fckn poncho,1,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,first earthquake ive ever felt,0,1,0,1,0,0,0,0,1,0,0,0,0
direct_eyewitness,so it  s just gone be a earthquake .. like right now .. ground just gon shake,1,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,in before  њearthquake? ќ tweets,0,1,0,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,am i trippin or was that an earthquake ,1,1,1,1,1,0,0,0,1,0,0,1,1
direct_eyewitness,yep!  that was an #earthquake. https://t.co/3a5ferfng5,0,1,1,0,1,0,1,0,1,0,0,0,1
direct_eyewitness,the only time we ever had an earthquake  at 6 am on a saturday  i was the only person awake for it and twitter didn https://t.co/pr2crktrwn,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,lol earthquake,0,0,0,0,0,0,0,1,0,0,1,0,0
direct_eyewitness,was that an earthquake ? #bayarea #earthquake,0,1,1,0,1,0,1,0,1,0,0,0,1
direct_eyewitness,thank u twitter for letting me know im not losing my mind and that was in fact an earthquake,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness, polhomeeditor  duncanm buildings first earthquake.,0,0,0,1,0,1,0,0,0,0,0,0,1
direct_eyewitness,good little #earthquake just now in #sanfrancisco,0,1,0,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,i think there was just an earthquake in sf..,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,wtf was there an earthquake or i  m trippen,1,1,1,1,1,0,0,1,1,0,0,1,1
direct_eyewitness,hi friends  was that an earthquake,0,1,1,0,1,0,0,0,1,0,0,0,1
direct_eyewitness,i swear there was just a mini earthquake,1,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness, hiredbyashley  houstonrockets did you feel da earthquake,0,1,1,0,1,0,0,0,1,1,0,0,0
direct_eyewitness,i just felt the jolt!  did you feel the #earthquake?  #sanfrancisco #bayarea https://t.co/8c44uzoh0l,1,1,1,1,1,0,1,0,1,1,0,1,0
direct_eyewitness,hmmm....either someone is moving the building or there was just an earthquake.,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,that earthquake just scared the heck out of me!!!,0,1,1,1,1,0,1,0,1,1,0,1,0
direct_eyewitness,*checks twitter to see if it was an actual earthquake*,0,1,1,0,1,0,0,0,1,0,0,1,1
direct_eyewitness,was that a fucking earthquake or am i tweaking,1,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,either that was an earthquake or my house is possessed ..,0,1,1,0,1,1,0,0,1,0,0,0,1
direct_eyewitness,oooh  little #earthquake in sf 7:18 pm,0,1,0,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,that quake was rude i want a full ass earthquake,1,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,was i the only one who just felt the earthquake,1,1,1,1,1,0,0,0,1,1,0,1,0
direct_eyewitness,#earthquake just a small one,0,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,that earthquake was peaceful as fuck  oklahoma's never gonna sink with that kind of pussy magnitude,0,1,1,1,1,1,0,0,1,0,0,0,0
direct_eyewitness,wow nice earthquake! i love #california #alameda #earthquake #igetusedtoit,1,1,1,1,1,1,1,0,1,0,0,1,0
direct_eyewitness,3 days back in the bay and there  s already an earthquake.,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,short sharp earthquake just now... oakland,0,1,0,1,0,0,0,0,0,1,0,1,0
direct_eyewitness,wow that was a weird earthquake,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,tribelaw ...recently posted something about that earlier. whoa  small earthquake here. was one earlier too. sorry  https://t.co/m3bhjbclnf,0,1,1,1,1,1,0,0,1,0,0,0,0
direct_eyewitness,anyone just feel that small earthquake in japantown/pac heights?,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,ok so i didn't just hallucinate that earthquake / think a truck hit my building https://t.co/tt0wwhcbjr,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,#earthquake #sf  felt like maybe a 3.5?,0,1,1,1,1,1,1,0,1,1,0,0,0
direct_eyewitness,oouuu earthquake,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,scary earthquake!,0,0,0,0,0,0,1,0,0,0,1,0,0
direct_eyewitness,minor earthquake felt in the east bay - stronger elsewhere?,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,mini earthquake!,0,0,0,0,0,0,1,0,0,0,1,0,0
direct_eyewitness,earthquake wheee,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,was there just an earthquake in san francisco or was only my apartment shaking?,1,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,that little weak ass earthquake ,0,0,1,1,0,1,0,0,1,1,0,0,0
direct_eyewitness,that earthquake felt terrible ,0,1,1,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,y  all experienced that earthquake too?,0,1,1,0,0,0,1,0,1,1,0,0,0
direct_eyewitness,ok who felt that earthquake tho,0,1,1,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,it was like a double tap #earthquake in berkeley,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,did we just have an earthquake? #concord #earthquake,0,1,1,0,1,0,1,0,1,1,0,1,1
direct_eyewitness,every time i feel an earthquake i check twitter to make sure that it was real lol,1,1,1,1,1,1,0,1,1,1,0,1,1
direct_eyewitness,was that an earthquake lmao,0,1,1,0,1,0,0,0,1,0,0,0,1
direct_eyewitness,i knew an earthquake was coming sooner than later!!! &amp; boom dere it go,1,1,1,1,1,0,1,0,1,0,0,1,1
